Item,Price,Date,Type of food 
Bananas,0.595,2014-01-01,Fruits
Bananas,0.583,2015-01-01,Fruits
Bananas,0.581,2016-01-01,Fruits
Bananas,0.573,2017-01-01,Fruits
Bananas,0.568,2018-01-01,Fruits
Bananas,0.576,2019-01-01,Fruits
Bananas,0.57,2020-01-01,Fruits
Bananas,0.597,2021-01-01,Fruits
Bananas,0.63,2022-01-01,Fruits
Bananas,0.639,2023-01-01,Fruits
Bananas,0.617,2024-01-01,Fruits
Bananas,0.599,2014-02-01,Fruits
Bananas,0.591,2015-02-01,Fruits
Bananas,0.573,2016-02-01,Fruits
Bananas,0.573,2017-02-01,Fruits
Bananas,0.574,2018-02-01,Fruits
Bananas,0.571,2019-02-01,Fruits
Bananas,0.574,2020-02-01,Fruits
Bananas,0.59,2021-02-01,Fruits
Bananas,0.628,2022-02-01,Fruits
Bananas,0.641,2023-02-01,Fruits
Bananas,0.625,2024-02-01,Fruits
Bananas,0.597,2014-03-01,Fruits
Bananas,0.593,2015-03-01,Fruits
Bananas,0.586,2016-03-01,Fruits
Bananas,0.571,2017-03-01,Fruits
Bananas,0.582,2018-03-01,Fruits
Bananas,0.581,2019-03-01,Fruits
Bananas,0.576,2020-03-01,Fruits
Bananas,0.594,2021-03-01,Fruits
Bananas,0.642,2022-03-01,Fruits
Bananas,0.632,2023-03-01,Fruits
Bananas,0.629,2024-03-01,Fruits
Bananas,0.597,2014-04-01,Fruits
Bananas,0.597,2015-04-01,Fruits
Bananas,0.574,2016-04-01,Fruits
Bananas,0.571,2017-04-01,Fruits
Bananas,0.578,2018-04-01,Fruits
Bananas,0.567,2019-04-01,Fruits
Bananas,0.581,2020-04-01,Fruits
Bananas,0.604,2021-04-01,Fruits
Bananas,0.637,2022-04-01,Fruits
Bananas,0.635,2023-04-01,Fruits
Bananas,0.626,2024-04-01,Fruits
Bananas,0.603,2014-05-01,Fruits
Bananas,0.582,2015-05-01,Fruits
Bananas,0.57,2016-05-01,Fruits
Bananas,0.564,2017-05-01,Fruits
Bananas,0.575,2018-05-01,Fruits
Bananas,0.579,2019-05-01,Fruits
Bananas,0.589,2020-05-01,Fruits
Bananas,0.6,2021-05-01,Fruits
Bananas,0.642,2022-05-01,Fruits
Bananas,0.628,2023-05-01,Fruits
Bananas,0.622,2024-05-01,Fruits
Bananas,0.607,2014-06-01,Fruits
Bananas,0.574,2015-06-01,Fruits
Bananas,0.569,2016-06-01,Fruits
Bananas,0.572,2017-06-01,Fruits
Bananas,0.575,2018-06-01,Fruits
Bananas,0.574,2019-06-01,Fruits
Bananas,0.588,2020-06-01,Fruits
Bananas,0.595,2021-06-01,Fruits
Bananas,0.64,2022-06-01,Fruits
Bananas,0.625,2023-06-01,Fruits
Bananas,0.625,2024-06-01,Fruits
Bananas,0.606,2014-07-01,Fruits
Bananas,0.581,2015-07-01,Fruits
Bananas,0.567,2016-07-01,Fruits
Bananas,0.565,2017-07-01,Fruits
Bananas,0.575,2018-07-01,Fruits
Bananas,0.569,2019-07-01,Fruits
Bananas,0.58,2020-07-01,Fruits
Bananas,0.594,2021-07-01,Fruits
Bananas,0.64,2022-07-01,Fruits
Bananas,0.631,2023-07-01,Fruits
Bananas,0.613,2024-07-01,Fruits
Bananas,0.608,2014-08-01,Fruits
Bananas,0.58,2015-08-01,Fruits
Bananas,0.562,2016-08-01,Fruits
Bananas,0.561,2017-08-01,Fruits
Bananas,0.569,2018-08-01,Fruits
Bananas,0.578,2019-08-01,Fruits
Bananas,0.576,2020-08-01,Fruits
Bananas,0.589,2021-08-01,Fruits
Bananas,0.643,2022-08-01,Fruits
Bananas,0.631,2023-08-01,Fruits
Bananas,0.612,2024-08-01,Fruits
Bananas,0.606,2014-09-01,Fruits
Bananas,0.58,2015-09-01,Fruits
Bananas,0.575,2016-09-01,Fruits
Bananas,0.544,2017-09-01,Fruits
